customer_id,email,contact,created_at
CUST_000001,customer1@example.com,9000000001,2024-11-15T16:00:00+00:00
CUST_000002,customer2@example.com,9000000002,2024-12-23T16:00:00+00:00
CUST_000003,customer3@example.com,9000000003,2026-03-25T16:00:00+00:00
CUST_000004,customer4@example.com,9000000004,2025-11-04T16:00:00+00:00
CUST_000005,customer5@example.com,9000000005,2025-05-24T16:00:00+00:00
CUST_000006,customer6@example.com,9000000006,2025-08-08T16:00:00+00:00
CUST_000007,customer7@example.com,9000000007,2026-01-27T16:00:00+00:00
CUST_000008,customer8@example.com,9000000008,2024-07-28T16:00:00+00:00
CUST_000009,,9000000009,2026-03-21T16:00:00+00:00
CUST_000010,customer10@example.com,9000000010,2025-02-28T16:00:00+00:00
CUST_000011,customer11@example.com,9000000011,2025-10-30T16:00:00+00:00
CUST_000012,customer12@example.com,9000000012,2024-05-02T16:00:00+00:00
CUST_000013,customer13@example.com,9000000013,2026-04-22T16:00:00+00:00
CUST_000014,,,2025-03-20T16:00:00+00:00
CUST_000015,customer15@example.com,9000000015,2026-07-30T16:00:00+00:00
CUST_000016,customer16@example.com,9000000016,2026-05-24T16:00:00+00:00
CUST_000017,customer17@example.com,9000000017,2026-02-18T16:00:00+00:00
CUST_000018,customer18@example.com,9000000018,2025-02-24T16:00:00+00:00
CUST_000019,customer19@example.com,9000000019,2026-08-29T16:00:00+00:00
CUST_000020,,9000000020,2025-02-22T16:00:00+00:00
CUST_000021,customer21@example.com,9000000021,2026-06-23T16:00:00+00:00
CUST_000022,customer22@example.com,9000000022,2025-12-07T16:00:00+00:00
CUST_000023,,9000000023,2024-12-03T16:00:00+00:00
CUST_000024,customer24@example.com,9000000024,2024-12-13T16:00:00+00:00
CUST_000025,customer25@example.com,9000000025,2025-11-16T16:00:00+00:00
CUST_000026,customer26@example.com,9000000026,2025-09-24T16:00:00+00:00
CUST_000027,customer27@example.com,,2024-04-29T16:00:00+00:00
CUST_000028,customer28@example.com,9000000028,2025-02-04T16:00:00+00:00
CUST_000029,customer29@example.com,9000000029,2025-07-06T16:00:00+00:00
CUST_000030,customer30@example.com,9000000030,2025-05-17T16:00:00+00:00
CUST_000031,customer31@example.com,9000000031,2025-03-28T16:00:00+00:00
CUST_000032,customer32@example.com,9000000032,2025-09-12T16:00:00+00:00
CUST_000033,customer33@example.com,9000000033,2025-02-26T16:00:00+00:00
CUST_000034,customer34@example.com,9000000034,2024-10-18T16:00:00+00:00
CUST_000035,customer35@example.com,9000000035,2026-01-28T16:00:00+00:00
CUST_000036,customer36@example.com,9000000036,2025-11-14T16:00:00+00:00
CUST_000037,customer37@example.com,9000000037,2025-05-02T16:00:00+00:00
CUST_000038,customer38@example.com,9000000038,2024-07-24T16:00:00+00:00
CUST_000039,customer39@example.com,9000000039,2024-06-02T16:00:00+00:00
CUST_000040,customer40@example.com,9000000040,2025-05-02T16:00:00+00:00
CUST_000041,customer41@example.com,9000000041,2025-10-08T16:00:00+00:00
CUST_000042,customer42@example.com,9000000042,2024-05-01T16:00:00+00:00
CUST_000043,customer43@example.com,9000000043,2024-04-10T16:00:00+00:00
CUST_000044,customer44@example.com,9000000044,2024-10-16T16:00:00+00:00
CUST_000045,customer45@example.com,9000000045,2026-04-15T16:00:00+00:00
CUST_000046,,9000000046,2026-06-09T16:00:00+00:00
CUST_000047,customer47@example.com,9000000047,2025-12-30T16:00:00+00:00
CUST_000048,,9000000048,2026-03-17T16:00:00+00:00
CUST_000049,customer49@example.com,9000000049,2024-11-27T16:00:00+00:00
CUST_000050,customer50@example.com,9000000050,2025-09-16T16:00:00+00:00
CUST_000051,customer51@example.com,9000000051,2024-05-26T16:00:00+00:00
CUST_000052,customer52@example.com,9000000052,2024-10-16T16:00:00+00:00
CUST_000053,customer53@example.com,9000000053,2025-03-20T16:00:00+00:00
CUST_000054,customer54@example.com,9000000054,2026-01-17T16:00:00+00:00
CUST_000055,customer55@example.com,9000000055,2025-11-27T16:00:00+00:00
CUST_000056,customer56@example.com,9000000056,2025-03-12T16:00:00+00:00
CUST_000057,customer57@example.com,9000000057,2024-09-16T16:00:00+00:00
CUST_000058,customer58@example.com,9000000058,2024-04-01T16:00:00+00:00
CUST_000059,customer59@example.com,9000000059,2026-05-02T16:00:00+00:00
CUST_000060,customer60@example.com,9000000060,2025-10-23T16:00:00+00:00
CUST_000061,customer61@example.com,9000000061,2026-03-24T16:00:00+00:00
CUST_000062,customer62@example.com,9000000062,2024-06-16T16:00:00+00:00
CUST_000063,customer63@example.com,9000000063,2024-12-30T16:00:00+00:00
CUST_000064,customer64@example.com,9000000064,2024-12-27T16:00:00+00:00
CUST_000065,customer65@example.com,9000000065,2024-11-02T16:00:00+00:00
CUST_000066,customer66@example.com,9000000066,2026-03-20T16:00:00+00:00
CUST_000067,,9000000067,2025-07-14T16:00:00+00:00
CUST_000068,customer68@example.com,9000000068,2026-07-10T16:00:00+00:00
CUST_000069,customer69@example.com,9000000069,2026-08-17T16:00:00+00:00
CUST_000070,customer70@example.com,9000000070,2025-04-24T16:00:00+00:00
CUST_000071,customer71@example.com,9000000071,2024-06-16T16:00:00+00:00
CUST_000072,customer72@example.com,9000000072,2025-02-12T16:00:00+00:00
CUST_000073,customer73@example.com,9000000073,2025-05-04T16:00:00+00:00
CUST_000074,customer74@example.com,9000000074,2026-05-21T16:00:00+00:00
CUST_000075,customer75@example.com,9000000075,2025-07-20T16:00:00+00:00
CUST_000076,customer76@example.com,9000000076,2024-09-30T16:00:00+00:00
CUST_000077,customer77@example.com,9000000077,2024-06-07T16:00:00+00:00
CUST_000078,customer78@example.com,9000000078,2025-12-28T16:00:00+00:00
CUST_000079,customer79@example.com,9000000079,2025-09-12T16:00:00+00:00
CUST_000080,,9000000080,2025-01-20T16:00:00+00:00
CUST_000081,customer81@example.com,9000000081,2026-01-08T16:00:00+00:00
CUST_000082,customer82@example.com,9000000082,2025-06-06T16:00:00+00:00
CUST_000083,customer83@example.com,9000000083,2025-11-25T16:00:00+00:00
CUST_000084,customer84@example.com,9000000084,2024-08-20T16:00:00+00:00
CUST_000085,customer85@example.com,9000000085,2025-12-06T16:00:00+00:00
CUST_000086,,,2025-10-26T16:00:00+00:00
CUST_000087,customer87@example.com,9000000087,2024-08-01T16:00:00+00:00
CUST_000088,customer88@example.com,9000000088,2025-08-17T16:00:00+00:00
